source,target,count
Venezuela,DLaraF,1
enrique escolano,PSOE,1
Josep Castany,Berlustinho,1
Alfonso Mota Romanos,martuniki,1
MARIAJO:'),dexamina,1
Philip K. Dick,julioastillero,1
�ngel Cerme�o,teleSURtv,1
Tj,SkyNews,1
Kavoskatdigui,KRLS,1
Stevie Crawford,AngusRobertson,1
�gueda Mic� Mic�,casanyeta,1
Javier4145,ahorapodemos,1
Veronica,KRLS,1
Fonky,publico_es,1
Roberto!,Mhemeroteca,1
Mario,DaniMateoAgain,1
Lili,jgomezsantander,1
Joan **DUI**,AngusRobertson,1
Ady Hoitink,JokeHermsen,1
Agust�n Le�n Navas,alejandrosanmo,1
Ron Damonson,DaniMateoAgain,1
Xevi Alde #Tram106,GeorgeKerevan,1
protesis2000,jurgem1,1
Rovi.,govern,1
Alberto G.,lfaci,1
Parch,JulianAssange,1
yvette ferrand,demontvalon1,1
Olivia,SiPeroNo1,1
Rafael Gonz�lez,elpuntavui,1
Javier Castrillo,MarianoPinedo,1
Rodrigo Cornejo,byanjama,1
Raul Grau,MomentsES,1
{Shape of Water},Kevin_Maguire,1
Sanfitoiro,SiPeroNo1,1
Estela Barrio,davidbroncano,1
Araceli Serrano,A3Noticias,1
Sebasti�n Puig ?,Lentejitas,2
Bob Street,eduardorepi,1
Ronda.in.Iowa,kylegriffin1,1
ANTONI TAY� TONDO,LaVanguardia,1
Maria Rodriguez Pere,pereceron,1
Marian Gonz�lez,AinhoaParedesUK,1
Cap de suro,segarra_tell,1
Javier,elespanolcom,1
Mabel Rossana,dr_crecer,1
Isabel??,ecorepublicano,1
L'hora violeta,yanisvaroufakis,1
Sil,davidbroncano,1
Carlos paretas,Irene_Montero_,1
Jose Luis Samus,GabrielaEsPais,1
Pau Adende,ramonetdg,1
FlashNoseCat,lopezbofill,1
Isabella,BorisJohnson,1
El Tesorero,sueldospublicos,1
Esther Moreno,mauricioeRG28,1
diego armando,RevistaSoHo,1
Bizco El�stico,davidbroncano,1
angel figueras,GINER,1
Camilo Alvarez D�az,AntonioMaestre,1
TITANIUM?,SkySportsNews,1
Oldman,theintercept,1
El mentalista,FrayJosepho,1
luisa,davidbroncano,1
6.04,DeniseDresserG,1
No s� Nick,gabrielrufian,1
carrrrmen,elbaronrojo,1
KINGS ARE COMING!?,niporwifi,1
Saray Bezares,perezreverte,1
Carlota L�pez,jordievole,1
Jep Cabestany,JulianAssange,2
Tony,AlfonsoRojoPD,1
Augusto,ierrejon,1
El Lickitung del CAP,Gonzalomaciel2,1
Pachang�ero,davidbroncano,1
Karina. #SI #MAMBO,niporwifi,1
Chitinandez,graphica18,1
LAURA DE LA GUIA,MiguelUrban,1
JAN? #votarem,FonsiLoaiza,1
EDULCORANTE,agarzon,1
Daniel Valcarce,norcoreano,1
Sandy,jordievole,1
Joi Flores,JulianAssange,1
juanMR�,Juanmi_News,1
Jose Luis Palacios,sextaNoticias,1
Sita carapapel,PabloTilo,1
Seerat Sandhu,CNN,1
~catarsis~,niporwifi,1
Julia Ray,JuliaRa51981158,1
? ? ?,EFEnoticias,1
EHOFFMANN,carloselizondom,1
Mon _ 1-O,davidbroncano,1
Jaume Estebanell,pmarsupia,1
santi,bachatero2115,1
gortiz,gortiz48,1
Joan **DUI**,RaphaelMinder,1
P_On-Mode,ActualidadRT,1
ANGELA BRIONES MANZA,JesusCintora,1
Espinojo,elmundotoday,1
Cancerverus,cmgorriaran,1
Vanesual,perezreverte,1
Maria,Migymar1,1
Mart�n Dur�n Garc�a,robertodeniz,1
Emma Castells,LaVanguardia,1
Meritxell Alavedra,marianorajoy,1
Jordi l l?l l #1Oct,QuicoSalles,1
?Gracias a Dios?,teleSURtv,1
Noel Cordero,VillegasPoljak,1
perico jimenez,eldiarioes,1
me/cfs seeker,julia_otero,1
Diego Dom�nguez,ReinudeLlion,1
Perchikas,demiguelch,1
Carles Bou Lahuerta,ElChirincirco,1
Donny O Rosales E,teleSURtv,1
Deplorable Vinny,JulianAssange,1
Victor Araujo,680carlos,1
RuthChnivet,Pedro_Arancon,1
Phillygirl1441,kylegriffin1,1
David,Elaguijon_,1
juan Bastidas Toassa,hectorjuanatey,1
*SuzyStarr*,wikileaks,1
Helena,denterd,1
Milagros Quintana,victorespanac,1
�S???� ?,masademocrata,1
Luis,publico_es,1
Gerardin Palacios,marianorajoy,1
Ana Ozores,CarmenFCollado,1
Carlos A ??,Nanchinho,1
Andres J,324cat,1
ferpani,AlquimistaAst,1
Fernando David,Alvaro845,1
Antonio M�ndez G�mez,carloscuestaEM,1
Elizatech,gavinsblog,1
?Irenee?,agarzon,1
mirengurutz,pedroblancoa,1
.,324cat,1
Marchello B. de L.,FCBarcelona_GO,1
redrose66,Pedro_Arancon,1
Jos� Ram�n L�pez,JosPastr,1
da?ne,siwenio_,1
Alfredo,julia_otero,1
EA Portugalete,jonathanmartinz,1
Giru. tram 617,KRLS,1
Judit Pujad�,OriolLari,1
Jerry Springer,TheNavBible,1
Perfect San ?,_RuizBartolome,1
Jon Balin,marianorajoy,1
Fran Sevilla,jordievole,1
Elizabeth Medina,Laflinchy,1
Zack,ierrejon,1
David,martuniki,1
Jes�s,CiudadanosCs,1
James ?,JulianAssange,1
Recontracojonostioge,pardodevera,1
David Junyent,PabloMM,1
Evius,Fett256,1
Victoor,niporwifi,1
marina Almanzar,ActualidadRT,3
Irene Labrado,arsenioescolar,1
RamonCG,DaniMateoAgain,1
Joan  ||*|| S�,repubblica,1
Yurippe,SuperManuPerez,1
Belbe ?,srtagalicia,1
JM Virgili i Ortiga,JulianAssange,1
PenultimosDias,GustavoVela71,1
Joel #1O #S� ||*||,davidbroncano,1
Antisocial.,davidbroncano,1
Enric Vilanova,EnricJuliana,1
Roberto Roig,Reuters,1
Marta Oca�a.,AnitaBotwin,1
Rita Catala Gomez,marianorajoy,1
Rosedaly Contreras,edoilustrado,1
Brian de Nazaret,JavierArocaA,1
Roque Abilleira,FjRamiz81,1
ElArgeladoDeMi�,Enrique_Cosp,1
Graciela Liliana,Nexofin,1
Caroline,BBCBreaking,1
Laura Pe,john_galt80,1
Josefina Llaurad� Se,exteriorscat,1
Lu,norcoreano,1
Louise de Lannoy ?,begocandanga,1
??H�kt�r ???,ActualidadRT,1
carlos castaneda,EVillamizarM,1
ADOLFO CABALLERO,ErnestoLPV,1
esparver,jordipueyo,1
�lvaro Ruiz,tjcope,1
Calambre,agarzon,1
Jose Luis Gomez,el_pais,1
JuanS,abc_es,1
Jes�s Turmo,apopopis,1
MESSI_HFC,andresiniesta8,1
Colleen Reeves,rtvbn1,1
Monstruo de GALLETAS,okdiario,1
maria dolores romeu,HPadrol,1
Jos�,memesbarcelona,1
Teresa,patricialopezl,1
Jes�s L�pez Rodr�gue,AnitaBotwin,1
Dr. Trumbo,delezoblas,1
Danny,noticias_cuatro,1
Bionda,Castro_Mas_Cota,1
Iitssus,Jordi_jm,1
MacEazyNikzy,MetroUK,1
ilde casado,agarzon,1
Albert Ramos Badosa,toniaira,1
Yesenia Persad,manriquehector,1
Carli,agarzon,1
Emma ||?||,VilaWeb,1
Agust�n Ortiz,carobotero,1
Javier,usuariosevilla,1
Laura Basaga�a,naciodigital,1
Arnau Gasc�,yeyaboya,1
ArturoIV,EdgardoRovira,1
Aguanbabaluba,Julianvirome,1
Meritxell Ull�s,LaVanguardia,1
El pobrecitohablador,ramonlobo,1
M�nica,elmundotoday,1
ANGEL,TeresaAnguera,1
1-O NO PENSO VOTAR,FrayJosepho,1
JOaquin,dmbatlle,1
rosa,PPopular,1
Xev Masias,govern,1
S�kpol_SE,Conflicts,1
Mieczyslaw Stilinski,AnitaBotwin,1
Vedell reconsagrat,GINER,1
Sim�nBocanegra,FerranOtif,1
Hernando Sandoval,AyMariaCandela,1
S�gal� ?,shinnoshanno,1
Isaac,elmundoes,1
ARRAUTXES,menudotiarro,1
Chusa Garc�a Garc�a,protestona1,1
Oscar Mvyor,nytimesworld,1
Josep,CRIS_taconassos,1
Carlos Morrazo,davidbroncano,1
BarniBanana,JulianAssange,1
Yara-ma-yha-who ????,RT_com,1
JumaX9,Rodaimos,1
Oriol Coll i Ribas,juspursuit,1
Nacho_Espinoza,CervantesFAQs,1
Padrino,Le_Figaro,1
Jaime El Sastre,20m,1
Manu G. Sirgo,PPopular,1
Tatiana Torrent,QuicoSalles,1
Manolito el coleta,juanluusandom,1
Botas & Chaquetas,davidbroncano,1
Eugeni Mas,elnacionalcat,1
mart quin,PeterTatchell,1
Albert Fust�,GINER,1
?? SOURCE ??,Elaguijon_,1
James E Crimmins,thomasbrake,1
Rafa ?,PaulooSD,1
Marina,javydirtysoul,1
Bibbi ?,nyhetsbubbla,1
JI OME.,IgnatiusFarray1,1
Kiku Neko,GuerraSuciaES,1
Cocoliso,skizofrenico,1
??? ???�//??//?,cat_farres,1
Annetta,jordievole,1
david punti,agarzon,1
"Kori, 's.",jorgeizargarcia,1
SandyShores,TheFraserMills,1
M BORRES,ierrejon,1
Gemma,CincoDiascom,1
JosepArnau #1OVotaS�,CarlesMundo,1
Jaime,elespanolcom,1
carlos hernandez,caguairandecuba,1
Luis cruz diaz Romer,AgoraAbierta,1
Jordi Rius Bonjorn,mossos,1
dandrii,ochoamiquel,1
Claudia,AntonioMaestre,1
marina,thoestevez,1
"ElLlop#DUIja,COLLONS",epaluzie,1
Rub�n,tableroglobal,1
olivier levant,La_SER,1
Xavier,ForcadellCarme,1
R?��n_�oficial,norcoreano,1
Niklas Jensen,JofreM11,1
Alba,wikileaks,1
J.Ribas,Esquerra_ERC,1
Noi de l'Adeu ?????,norcoreano,1
Photolopez,sihomesi,1
Alba Alonso,agarzon,2
inrssinternacionales,teleSURtv,2
Minimax Food Store,DeniseDresserG,1
Penya1992,Endavant_Mca,1
Alazne ?,CataloniaHelp2,1
ROBERTO FURESI,losbadigliomat,1
Juan Rodr�guez M,EdgardoRovira,1
Miiki,A3Noticias,1
Migue,FriKitty,1
Aleix Casafont,_ju1_,1
En nombre de Israel.,vox_es,1
Luciano Muriel,eliasmgf,1
Mar�a,ahorapodemos,1
FrancescJ63,Le_Figaro,1
sinozzuke ????,sinozzuke,1
mariajo,jotajordi13,1
Artur Vidal,naciodigital,1
M.,HugoCabezas78,1
?�lvaro Monsalve G.?,GustavoVela71,1
Ricardo Otero,jmbartomeu,1
Josep Guilera,vilallongapac,1
ANC - Austr�lia,templarquerol,1
Edwin Gotera,Zabayar,1
????? ?????,IndianExpress,1
Katharine Horgan,acgrayling,1
Nico-dominik,BFMTV,1
Homo TumultensiZ,btvnoticies,1
Reyes Barrag�n,KRLS,1
karinapelae,ConElMazoDando,5
israel,324cat,1
Pere Arnau Ricart,marianorajoy,1
vidmar taborda,jmkarg,1
Marc,JulianAssange,2
Oscar Collell,Casfetera,1
Sesos de alga,SuperManuPerez,1
AZUKIKI?,Moicamacho,1
Laura,sevillajordi,4
Xavier Barnada,BoogiemanFtw,1
Almeyda,metroadelantado,1
Joan Marc,elnacionalcat,1
Maria Roca,juanrallo,1
Saly Evans,RyCGonzalez,1
Alvaro Sabater,PPopular,1
CARLOS GOMEZ BAYO,elmundotoday,2
||*|| Martina Dayz,infoRAC1,1
5H by 5H-THTHTL by C,AlinaSalazarG,1
Beatriz,asberserker,1
loco por la vida,sumariumcom,1
Mir,MomentsES,1
William Scott Scherk,DanKaszeta,1
antonio sanchez,madeleintlSUR,1
LUCY ??,isanseba,1
Tio la branca,iescolar,1
Jose Urceira,lukaeskywalker,1
SrTremein,fray_fanatic,1
Harold,vivere__memento,1
C�cilia,Limportant_fr,1
Daniel Romo Vega,europapress,1
Yamile,AlbertoRT51,1
Irene Pelegr�,davidbroncano,1
Fernando Galeote O,JosPastr,1
Otilia Estorach,nuvol_com,1
Anabel,sonialopezcurra,1
Maria Gas,CelopanYT,1
juanca,yoli_gee,1
Diego,petrogustavo,1
Carlos Salvad�,martinainstein,1
AMC,KRLS,1
BUY FOLLO?ERS :vzy,Berlustinho,1
deteibols,Joysglo,1
To�i,martomorillo,1
Odiseo Dietrich,EdgardoRovira,1
JJ DeBenedictis,kylegriffin1,1
Gris,radiocable,1
Howard McLain Jr,JulianAssange,1
Irma Gardu�o Camacho,elpais_america,1
Bizout SL,marceel26,2
Pla Garcia �,rakeld12341234,1
Eva Corredoira,ForcadellCarme,1
Omar Olmedo,jordievole,1
Sandokan,LaVanguardia,1
MateoFernandezT.,galiciaenfureci,1
Pancho,KRLS,1
Joan Mart�nez,AnitaBotwin,1
Eris,siwenio_,1
laratetacoqueta,DavidMeseguer,1
Elia Cuatrecasas,Alejandrokanete,1
CDR Bellvitge,Solosoyotrxtu,1
Salvador Torregrosa,Antonnic1,1
Ciru Cerdeiri�a,marca,1
Aitor Liendo,NoticiasONU,1
Melanie??????,kylegriffin1,1
Marenostrum,jaumeclotet,1
Marcos Mel�ndez,teleSURtv,1
Phil Man.,DaniMateoAgain,1
swingTIC ?,GINER,1
Carlos Olarte,SegundoEnfoque,1
Jes�s Manuel Afonso,robertodeniz,1
Pere S�bat,DavidMeseguer,1
Fabio Jim�nez,MariaLaara,1
Tony Pressland,DCBMEP,1
T.Bruna,directe,1
ODASIR HERRERA,Pedro_Arancon,1
manuel alfonso,desdelamoncloa,1
Mireille Moz,Vincent_Pana,1
Cris  #1oct2017 ?,CarlesMundo,1
Rancho e Cart�n,DictadordeCorea,1
VillaTeresa,AntroCanal,1
richard vargas,ActualidadRT,1
Claire,marcdobrev,1
nuria masats,thoestevez,1
aleix salvado bonet,marialg2017,1
JaimePrimero,3gerardpique,1
free4CAT,puntinho10,1
(((Juli� Grau))) ?,_ayme,1
Manuel Gil,El_Plural,1
Joan **DUI**,GeorgeKerevan,1
Alves ??,2010MisterChip,1
Mario Godbout,PatWhite70,1
sarasa,bbcmundo,1
Benja,carmen_caesaris,1
Carmina Dominguis,SocialistesVal,1
Gaby #VOX ??,okdiario,1
Carlitos el mago,NuriaMonfulleda,1
? #S�,KRLS,1
Dennis C�rdova,agarzon,1
conniver,Pablo_Iglesias_,1
Carlos Ch�vez,AliciaCastroAR,1
Curro Troya ??,Xabi_67,1
AS825,andresiniesta8,1
Maider,davidbroncano,1
Lourdes Perarnau,puntinho10,1
EmmiLatte,AlfonsoRojoPD,1
iker,davidbroncano,1
alexander galue,luisoliveros13,1
Jos�,PIPOLINO007,1
monikanu�ez,elperiodico,1
Alex Enriquez,PabloTilo,1
JM,boye_g,1
Alejandro Sell�s,JosPastr,1
Susan,JulianAssange,1
robertoflores,guruchuirer,1
Omer Leal Fern�ndez,CiudadanosCs,1
Maigualida Santana,GustavoVela71,1
?,HectorSanPra,1
El Boinagres,Morlock71,1
IlCuore&l'Anima,Agenzia_Ansa,1
?EVIL?,CelopanYT,1
Jhonny gonzalez m,ElUniversal,1
Beatriz Bonmat�,YolKst,1
ainhoy,larreina,1
Leo. ?,AnaMellark23,1
Traquir,AngusRobertson,1
icalzada,iescolar,1
Angel Raposo,ierrejon,1
private,xNavalha,1
Diego,perezreverte,1
Eduard Guitart,ANC_Bombers,1
talkesi,Edvardo_Munch,1
mirapix,VidalQuadras,1
Abel Garcia,Uhjura,1
Marina Batet,GillStella,1
Quim Gutierrez,KRLS,1
N�ria HR ?,Poletegi35,1
Daniel Contreras,KarlaRiveraMX,1
Gzenda,voaindonesia,1
�gueda Moyano,Edvardo_Munch,1
Don Jos�,FonsiLoaiza,1
Ser,Pablo_Iglesias_,1
llibi cutxibiri,natzafarre,1
?? ???,marcdobrev,1
Virginia,govern,1
Pandemonium,Pablo_Iglesias_,1
Ver�nica,JPAFS,2
Luis I. G�mez,santoorcero,1
C�sar Valdez,Bessy_Rios,1
Dennis Rocks,naciodigital,1
Mundo Burbu,sevillajordi,2
Aina Elias,toniaira,1
kaos,masademocrata,1
piyush,lajornadaonline,1
Sebastian Fimbres,Pablo_Iglesias_,1
Linda Personita??,diario24horas,1
Vicente Carre�o V.,bbcmundo,1
Javier Marmolejo,lamarea_com,1
BUY FOLLO?ERS :xjn,MigunaMiguna,1
Catal� Indepe,GINER,1
Angel Giner Eroles,catalannews,1
Luisa Patricia,diario24horas,1
derekdavidfoster1973,AlexInAir,1
Rosalia Mujica,NTN24,1
Rub�n Sard�n,interiorgob,2
KosmoEntelecheia,papadimoulis,1
nska,AntonioMaestre,1
brokeNet,guardiacivil,1
#Independ�nciaCAT,AJEnglish,1
Eduardo,AntonioMaestre,1
Julian Toedter,RakutenArena,1
Jara Costa,sorluciacaram,1
La Loca y su gato,davidpareja,1
Jose Agullo Castells,jordievole,1
Osvaldo de Mestral,masademocrata,1
yazz,GuzmanJoseVicen,1
JRF,cmorlesVEN,1
Albert G,miqueliceta,1
Ana  Claudia Santang,clarincom,1
Rita Catala Gomez,antonioespana,1
Complot Global,WillyTolerdoo,1
Javier Rodr�guez,okdiario,1
Mon,davidbroncano,1
xavelo,nytimes,1
?? Arielus ??,martuniki,1
quino,AEscohotado,1
Miquel#HolaRepublica,mossos,1
sen,BoogiemanFtw,1
m a r i a,tolocorubio,1
Cin�tika,Candeliano,1
marsa70,vpartal,1
N.,Berlustinho,1
#23,_SentimentCule,1
BMTEL San Pedro,AbaldeMaria,1
pascal pacsou #VFrVN,AldoSterone111,1
Yeray Honrado,ppmadrid,1
Guillermo Revuelta,elobrerodigital,1
David Nieto,davidbroncano,1
Mimi Farrow,EsppeonzAguirre,1
toyotajav,SUKOICRIOLLO,2
Gabriel Flores,guardianworld,1
la_enCICLOPE_dia,jramonrf33,1
Elise Michel,cnni,1
Serj Cauto Ramone,_rododo,1
Fran #HM ??,CarlosdZaragoza,1
Agronegocios Uruguay,Union_Europea,1
Nahuel Suero,norcoreano,1
Jun Ying Liu,norcoreano,1
Jordi Vendrell,wikileaks,1
Robert Duley,BloodRedPatriot,1
BW ??,DebatAlRojoVivo,1
Esther Toran,frandepan,1
javi lavers ?,el_pais,1
AzuParaiso,JesusCintora,1
S.NogVeres #S� #�C,DretsCat,1
Juliamar,btvnoticies,1
Mireya Agra,miguelhotero,2
Luis Alfredo,EmilioAlvarezI,1
G-SUS G-STAR,PabloMM,1
Camilo Alvarez D�az,martinainstein,1
Eduardo Rguez,arlopex,1
Oliver Sartre Sastre,julioastillero,1
jordi ruiz,LekaconK,1
ADH,cav_carmen,1
Marcos Cuevas,trecet,1
frenadesopanama,ConElMazoDando,1
germenpat�geno,pnique,1
Rocio Medrano,laradiodelsur,1
Miss Cojones33,calonsonet,1
Mulungu Oblongo,sextaNoticias,1
Antonio Marchante,MorenoG_Agustin,1
Ivan #VotaS� #1oct17,KRLS,1
GATETA30,jordievole,1
Eduard Farinyes,MJLecha,1
Extremaydura,agarzon,1
Nahu,norcoreano,1
Fran,KRLS,1
Estanis #1-O #JoVoto,XSalaimartin,1
Carmen,coparota41,1
Jaume Avellana,erikwill,1
Antares Rock,cristinavll,1
ilaria giannotti,rtvbn1,2
Pascaljo,plaurent_pcf,1
Ignasi Bocanegra,LaVanguardia,1
Artillero,Clinerof,1
Alex S�nchez Z��iga,Bekamokhe,1
Gabriel Anich Sfeir,HeraldoMunoz,1
Miguel,Raul413600191,1
???.???????,AnitaBotwin,1
Beatriz Busaniche,4Dgifts,1
Ganzell,GeorgeKerevan,1
Matthew devine,MattTurner4L,1
June Turnbull,vincecable,1
Rol,NoticiasVenezue,1
Un d�a de estos..,SingerEduardo,1
D.E.,nytimesworld,1
Senen Marcano,omarg1944,1
NACHOTECNOLOGIA,perezreverte,1
S_Piqu�?,FCBarcelonaFl,1
?J E S S I C A???,DeniseDresserG,1
George Richardson,dwnews,1
Leopoldo Chao Arbiol,JuanDiegoBotto,1
David & Jasper,Harryslaststand,1
S�lviaMdezCahue,XSalaimartin,1
Pauli Gallego,norcoreano,1
Rodolfo Monasterio,yoSoyTiroLibre,1
Dami�n Rodr�guez,vivere__memento,1
Namenone,CNN,1
Kike Sosa,bbcmundo,1
Cristina Company,elpuntavui,1
Ale ?,ActualidadRT,1
Carlos Herrera,carrusel,1
Xevi Cases,20m,1
Lina Nygren,HugoCabezas78,1
Andres,matiaswalkerp,1
Gon,GobernoAlem,1
AITOR TILLA,AlmudenaGomezR3,1
Jaime Romo ?,aljimmix,1
Securitycopy,diostuitero,1
The lamb & the wolf,davidbroncano,1
Mireia Vidal-Conte,DolorsBoatella,1
Sergio Gonz�lez,DaniMateoAgain,1
Aurora,Pablo_Hndez,1
Jes�s Tadeo P�rez,ConElMazoDando,1
Manel Manch�n,Godivaciones,1
Minerva,santicabezuelo,1
Pedro | Prime,FonsiLoaiza,1
C�sar BarbaRoja,jalemanuris,1
Lau?17deOctubre||-27,CelopanYT,1
felix g,ChaoticEna,1
Carlos javier Lillo,Pablo_Iglesias_,1
Sonia Cano,europapress,1
JM Mauri ||*|| 1-O,SpainUnida,1
Xavier Garz�n,elnacionalcat,1
Melatonina,FonsiLoaiza,1
Hopeless Wanderer,dhr_1902,1
Samuel Mart�n Coello,elmundotoday,1
Oriol29,JulianAssange,1
Mar�a Isabel �ngel V,pmarsupia,1
Bigwig,Cuent_Cuanticos,1
David P�rez,KRLS,1
Cap. Juan J. Ramirez,BBCWorld,1
eduard capdevila,bomberscat,1
Jose  Argando�a,europapress,1
Angels Rocamora,SeguraGuerrero,1
mercedes ruiz guzman,torresdlalcazar,1
Diego Leiva,marianorajoy,1
Jean-Pierre Gagn�,RsiRoger,1
Pol Espinosa,govern,1
Rodrigo MorenoCortes,hermanntertsch,1
Hater Hayer,albertoavriz,1
David Prieto,jg_dominguez,1
Palo.,CiudadanosCs,1
Estiwi,sanchezcastejon,1
Kepa Sakolegi,RealnySerioshka,1
Joseillo_iste,elmundotoday,1
manuel,naciodigital,1
Jose L. Luque Torres,elmundotoday,1
CGT Dexeus,EPNacional,1
Angel :D,elmundotoday,1
Mari Carmen,trecet,1
Vote Remain Watch,JuliaHB1,1
El Demiurgo,agarzon,1
I�igo VI de Castilla,el_pais,1
Jorge Henriquez,sextaNoticias,1
soul56,philmusical,1
DonChico#ResAVotar,pablomy92,1
V�ctor Moreno O�ate,agarzon,1
Enric Folch,QarlesJ,1
Laura,AntonioMaestre,1
Luis #IRPHEstafa,eldiarioes,1
Lucerito's Son,DaniMateoAgain,1
Raquel Garc�a,_AinhoaValero_,1
Gerard FMC | ???,RadioCanadaInfo,1
MaxPTY,ActualidadRT,1
Abner Rodriguez,qz,1
CATaronja II*II,FiloPolitics,1
Dominic Devine,Angry_Voice,1
Samu,axebra,1
monica,EnnioRemondino,1
Arwen,PPdeTeia,1
Carolina,Mongolear,1
Mia,Gavioto_,1
Estrella Marina,comentandotv1,2
Jesus,a_nmilara,1
Rub�n  Nieto,rosamariaartal,1
Eliudys,rojo_fuertes,1
Susanna campillo,eldiarioes,1
? ? ? ? ?,CatalansForYes,1
Vita Retes,SusodeToro1,1
EnrikeM,Cazatalentos,1
Alfons Cabrera,RaphaelMinder,1
C9 Vago,fercardenete,1
El Correo De Torre�n,el_pais,1
N�ria Romeu Bernad�,JulianAssange,1
Vargass,diostuitero,1
Martin Quinn,Kevin_Maguire,1
Mahe.,Albert_Ccia,1
Osmel J. Torres A.,JPAFS,1
ManeelG,Stan_Leganes,1
Gustavo,KRLS,1
Catalonia #10,Ulldebou1,1
Khalil ??????,ElChirincirco,1
sarcasmos.com,jorgeramosnews,1
Hijo de Miss Am�rica,fconejodo,1
TransfugaALoBonzo,15MBcn_int,1
Franxet,Kevin_Maguire,1
Maria Colera,iaiestaran,1
Albertoideo,missgemss,1
Susie E,kylegriffin1,1
Gerardo Jare�o,AndresAberas,1
Hermogenesconhache,hxc0re_,1
mag,carloscuestaEM,1
carla,6b47e7642cda4fb,1
Delf�n Juan Puente,europapress,1
MarcSam,FT,2
Gary Bovey,EUflagmafia,1
Descontrol orientado,mportod,1
soni@,_infoLibre,1
Eva Martinez,KRLS,1
Emergentes,ActualidadRT,1
Anna Prim Amador,LaVanguardia,1
Tsilva,elpady,1
Octavi Miarnau,JulianAssange,1
Zepol54,VidalQuadras,2
Sandy Duncan ??,CataloniaHelp2,1
Gustavo Donat S.,CNNEE,1
Chugo,Mery_Boom,1
Genar69,skizofrenico,1
Mart�n Pacheco,JulioAntonio48,1
jorge,ActualidadRT,3
G.,tamarrov,1
Dani,PabloTilo,1
Peter #1ONadaQVotar,rubiodelpozo,1
salva d'Or,revistamongolia,1
Pedro Garc�a Flores,JordiGraupera,1
Alex Casab�,GINER,1
Max Allemagna,Daniele_Manca,1
CL�UDIA,PPculpables,1
Cel Ras,Lluis_Casanovas,1
Andrea Borgialli,Linus2k,1
Patri Cobeta,el_pais,1
??????#DNA,BoogiemanFtw,1
CARLOS CABRERA,perezreverte,1
Daii loves Jensen,CelopanYT,1
Mark Bullen,ij64,1
Aitorks,Pablo_Iglesias_,1
La Chica De Letras,A_Garcia20,1
Fanalet de Fernando,GuineuAstuta,1
Roger Pi de Cabanyes,VilaWeb,1
?????????,juanlusanchez,1
Pedro Rodr�guez,Lechuguinos_com,1
Hector Figueroa,AliciaCastroAR,1
Hugo,mromvi,1
PENSANTE,VillegasPoljak,1
Manu.,ger_moru,1
Nepareizais,elisabethbreg,1
Ferran Sellar�s,pablo_jaquete,1
dolors ferres,XSalaimartin,1
rosamar,AereoMeteo,1
Rut Queralt,govern,1
? Blind Love ?,cxlturx,1
TheMaxiZone,agarzon,1
Joan Barcel�,viajeroaitaca_,1
Republicante,sorluciacaram,1
A la mierda las AFP,Egon_Schmidlin,1
Ant O'Fearghail,NickCohen4,1
Javi �lvarez,DaniMateoAgain,1
maricl,LaVanguardia,1
Redempy,davidbroncano,1
Sergi Ferrer,marianorajoy,2
Angel Navarro,cociro,1
Jeffrey Pearson,BBCBreaking,1
p,Kevin_Maguire,1
Adrian Alvarez Arenc,Pablo_Iglesias_,1
Laura Gonz�lez C.,elconfidencial,1
eminio,laSextaTV,1
Jordi,sack_am,1
jmerinoc,lecodesitges,1
umby vr,ElioLannutti,1
Alberto Lema,piedadcordoba,1
�scar,GRayoVictor,1
Victor Infer,cakealatake,1
Mario Mendoza,m_zamarripa,1
Sara,jordievole,1
Alice Batman,DeniseDresserG,1
Ghost,cnnbrk,1
Paco Boya Al�s,luis_mauri_,1
una de Madrid,cakealatake,1
Meri #EnsVolemVives,JulianAssange,1
Fernando Suarez,leonleger,1
Piedad Garper ??,JorgeGalindo,1
Mierda pal estao,LaikaOrbital,1
H�ctor Verdejo,pocopelo23,1
??Delia Gonz�lez??,AnonymousPatria,1
Sartoris,JosPastr,1
jairo rebolledo,_ju1_,1
Alma Guisante,AnitaBotwin,1
Counter_Flow,diostuitero,1
OGA,ActualidadRT,1
Alicia,BringMeMyDonuts,1
asi_as�,Pablo_Iglesias_,1
Darwin (Rawin) ??,DiarioLaPrensa,1
Jordi Torra Oliveres,elnacionalcat,1
keko Iglesias ?,soni_cats,1
Erika Von Borstel G,DeniseDresserG,1
Duane Marcus,RT_com,1
HumoClasico,davidbroncano,1
Ed Hogan,matt_bonner,1
Jon Monz�n,LaVanguardia,1
Oscar Puig,jordievole,1
miguelperea,BMjulianCerdan,1
SoloKlapKalash,Doge_egoD,1
Beatriz Iglesias,MiguelUrban,1
Victor Daniel Osorio,_ju1_,1
JB,ansachelo2,1
Jordi Exp�sito,blonstark,1
PENSANTE,_ju1_,1
Loles,iniciativa,1
Elizabeth,goldengungirl8,1
Profesor Aronnax,davidbroncano,1
Jose Luis,bbcmundo,1
albert,ActualidadRT,1
Demian Yexil,iosonokarma,1
Sor Elena villasmil,Rjimenes,1
Faith,Antonnic1,1
joselito761,hermanntertsch,1
Coque,MediterraneoDGT,1
Ferdinand Stanek,JulianAssange,1
Edgar Baptista,bbimbi,1
Laura,SaskiaSassen,1
Mayke Schultz,nytimesworld,1
Mari�ngeles Ben�tez,MartiTegidoCAT,2
