source,target,count
MarcosTorres,soldeinvierno41,1
Llanito??Politics,AnitaBotwin,1
MARIA PILAR,MiguelUrban,1
Eli,denterd,1
Jos� feo,camuniafilada,1
F Gascue�a,_ju1_,1
cuadrado,elmundoes,1
?�?NDR?K T?RG?R�EN?,Bravoporvos,1
Fiona Grahame,kevinoils_kevin,1
Guillermo Molina,Chileokulto,1
Pollo,AnitaBotwin,1
??..?,AFP,1
Jurdan Arretxe,elperiodico,1
Cristina Llorente,MartaEscriva_Cs,1
Pantxo Zarricueta ?,MielyMerken,1
Mauricio Posada F,euronewses,1
Owba,BoogiemanFtw,1
Jose,miguelhotero,1
Rosario Palomino,LaVanguardia,1
Hector Andrade,drexlerjorge,1
Mark Branigan,zylon9,1
mrbdns,xurirux,1
Lucia,AzuzenaBcn,1
Jaume Manyoses,diariARA,1
Victorgz,bbcmundo,1
Josep M. Porta #S�,GINER,1
kaiserslautern.,c_cardenas_s,1
Conchita R Ferreira,miguelhotero,1
Omar,jonathanmartinz,1
Andr�s Gonz�lez,andresdelacalva,1
Andrei Kononov,ActualidadRT,1
Laia Bayot,DavidMeseguer,1
D�nendal Inglorion,RaholaOficial,1
Joaquim Coll,RogerDomingo,1
???,Ivanledesma,1
~Hueso~,ImMESS10nante,1
Aramis,DeniseDresserG,1
M. Teresa,ForcadellCarme,1
Juan Carlos Heras,JesusCintora,1
Ivaan,fbtesta,1
Manel Melchor,cnni,1
Muckraker,marianorajoy,1
Keep Calm and Vote,CataloniaHelp2,1
Sonia Rasjido Avalos,GonzaloECaceres,1
Plan�te Bar�a,HockeyclubLICEO,1
Belethedheliel,cliodiaspora,1
Independ�ncia �s DUI,324cat,2
Victor Piedra,abc_es,2
Cipriano,VidalQuadras,1
Doritos mojaicos,jordievole,1
Gonzalo Arias,racle7,1
Alfonso Tejero,_Hisyaz_,1
LENAY,GalactusGalaxi,2
#ElEscudoNoSeToca ?,CiudadanosCs,2
Ferran Moreno Moreno,TeresaRodr_,1
Cicer�n,martinezmaillo,1
Cris,SocialistesVal,1
Cesc #AraRep�blica,ForcadellCarme,1
?.�'? Tarja ?'�.?,IncognitaXXXXX,1
alvarete75,sextaNoticias,1
DuraznoStark,todonoticias,1
c????l???,norcoreano,1
Amadeu Juand�,govern,1
IGNA,CelopanYT,1
xaVi Serra [?#1Oct],forococheromedi,1
Karlo Schmidt,DLFNachrichten,1
OceanUnivers,norcoreano,1
Roger Z ?,GustavoVela71,1
Resistirem,XaviEscufi,1
perys,JosPastr,1
Nuria Manzanares Gil,LVPibai,1
dn,pictoline,1
McAgoo,LaVanguardia,2
Albert Vila Calvo,Telegraph,1
Angeles B N,InesArrimadas,1
Arnau Padr� #DUI,DolorsBoatella,1
Mercedes Alberdi,JordiVives6,1
araceli,Piituitaria,1
Rafael M M M,CiudadanosCs,1
Roger Torras Planes,aminahekmet,1
Ben Sanderson,elperiodico,1
Manuel Sanchez,hermanntertsch,1
Mejita,agarzon,1
RBT,sevillajordi,1
edubruzzone,lajornadaonline,1
Carmen Salvador,Albert_Rivera,1
I�AKI,elpidiojsilva,1
David,ErnestoEkaizer,1
Jose Fern�ndez G�mez,forogc,1
Pablo Sandoval,DeniseDresserG,1
No_CoPs_LoW_cOsT,Eskimal_1,1
?COMEGUAGUAS?,marianorajoy,1
Macario Mart�nez,fernandeznorona,1
Jes�s Horacio B�ez,ActualidadRT,1
Manuman,fconejodo,1
leoncio andres palom,ActualidadRT,1
Carmen,elprogramadear,1
askari,JulianAssange,1
The_Singermorning,DaniMateoAgain,1
Alberto Fern�ndez,Mery_Boom,1
Juan Pedro Urabayen,europapress,1
Anna Caula,puntinho10,1
kowalskyyearsBCN,JulianAssange,6
Joxean Koret,patowc,1
?Xisku?,mossos,1
Clau,bbcmundo,1
Fran Osado,ErnestAixendri,1
Ojo Pelao,planwac,1
aditya irawan,panditfootball,1
Jaume Rodergas,altamiranoMLG,1
Heber Mart�n,3gerardpique,1
ChampagneMami ?,pablomy92,1
Javattzx,ChimaTCK,1
Carolina,elpuntavui,1
piolin viajero,jma_55,1
Edu Z��iga Solari,AntonioMaestre,1
Kojo67,agarzon,1
Jos� Antonio Som�,IgnatiusFarray1,1
Laura,jcuixart,1
Jorge,DebatAlRojoVivo,1
Glorimar Soto,javiergorrino,1
Diego Alvarez,_Parao,1
a les 5h al cole ??,Endavant_OSAN,1
luisanderson,ldpsincomplejos,1
Ariel ?? (?),eltanomdp,1
Megaprogre,RojoNegroRojo,1
Pere Joan Mateu,RaphaelMinder,1
cask1,jordievole,1
aurora santos gonzal,Albert_Rivera,1
Andrea Arce ?,AndreArce2,1
cinta homedes,leotaxil,1
Valentina,ActualidadRT,1
susana hebles bravo,elprogramadear,1
Castellano,mossos,1
Tiffany?,DaniMateoAgain,1
Noem� Merino,policia,1
Mariona,cota3143,2
Liova37,Cazatalentos,1
Cejudo de la Mancha,davidbroncano,1
Maribel P�rez,TeresaRodr_,1
@CarreroTropa,YndiTorregrosa,1
Luisa Raby,Pablo_Iglesias_,1
Julen Ortiz Azkutia,AnitaBotwin,1
Santi,vilallongapac,1
Roberto Aguado,carmen_caesaris,1
SKY FALL,RealBenjys,1
YAJAIRACGARCIAP,nenedenadie,1
Micl�ngel,MonDiari,1
Eva Amat,AntonioMaestre,1
Marta Conesa,jordievole,1
Eduard Torne,govern,1
Josep Maria Giner,caralmuries,1
Punto y final,jorgeramosnews,1
Mario_Martin_,GatoAguacate,1
Bartek Golanowski,catalannews,1
Teeddy,MomentsES,1
roberto,nenedenadie,1
Amparo Luna,cakealatake,1
P.J. Cruz Armendariz,ccarnicero,1
Teresa Ruiz,24h_tve,1
el retweetero ^O^,agarzon,1
tetecuesta,AlfonsoRojoPD,1
Roser Ruiz,guardiacivil,1
INFOPRESS.BCN,_infoLibre,1
Marco Gallego,VidaModernaOML,1
Julio C�sar Cucaita,el_pais,1
?Belzebitch?,_ayme,1
Joe Spinell,2F1M,1
Un d�a de estos..,CristinaSegui_,1
Luis Pintor,IrmaCervino,1
ROSARIO  PORTA RUIZ@,AmenhotepHuy,1
JORDI IBA�EZ NIELLES,Berlustinho,1
VdeVanesa,davidbroncano,1
SOSHI,rtvbn1,1
Nostradanus,EenVandaag,1
pt,toniaira,1
Pedro,europapress,1
H�ctor Paredes,flotontinoperez,1
Andrew Brown,rtvbn1,1
Anna Molina,DesInfoCAT,1
Lora Verheecke,jordi_boixareu,1
Enfurecido Lark,FVillacisneros,1
Can Pistraus,AnitaBotwin,1
BOCA DE MI VIDA??,MotivacionesF,1
PABLO ??,DaniMateoAgain,1
laylzz,DeniseDresserG,1
#Tienequepoderse,AnitaBotwin,1
Jordi Trijueque,jaumeclotet,1
Claudio,sevialgo56,1
josep R C,lopezbofill,1
roxas10 XIII ?,CelopanYT,1
Elena Mart�nez,CervantesFAQs,1
Chorizu a la sidra ?,MuyLiberal,1
Pierre Pelletier,RoseLaloba,1
Pedro Jos� Huerta,jordievole,1
GALM 2,iElectroMad,1
Caminante ?,mossos,1
Venezolana,ChuoTorrealba,1
Shwan Fatah,ThomasVLinge,1
IlIRy?taKunIlI,blonstark,1
Rostoll Fonoll,AFP,1
Angel De La Puerta,CarlotaEmperatr,1
Ezequiel,MotivacionesF,1
Jorge Montezuma,20m,1
?Thomas Mill�n?,Rafaelita82,1
Abuela Chatera,europapress,1
Reus Capital ||*||,guardian,1
Accitano,microtribuna,1
Albert Mart�nez,Snowden,1
Alberto �rf�o,iescolar,1
Gillian Kalter,joannaccherry,1
amurga1,vmm7773,1
SASam1714 *X,europapress,1
Ana Fornes,davidbroncano,1
Zilvio,A3Noticias,1
Andy Hernandez,elpais_america,1
Marcelo G�mez,QueLoSepaElMund,1
Juan Jos�,IgnatiusFarray1,1
Juan Zugazaga,Pablo_Iglesias_,1
Manu� Bola�os,davidbroncano,1
Jordi Galderic [?],Le_Figaro,1
Freddy Contreras,irisvarela,1
Marisol Gonzalez,CasqueroUnai_,1
juampivp,davidbroncano,1
Angela Cuesta Rdguez,AdaColau,1
jose M�,pmanglano,1
M9Ntse||*||,elnacionalcat,1
Susie McKenna,Paul1Singh,1
hostiascontodos,protestona1,1
m.m.m,rtvbn1,1
Mirensss,freddie1999,1
R. Gaillard  ? ? ?,tito1265aa,1
alf60,davidbroncano,1
Alejandro Aparicio,VidalQuadras,1
Elisa Vizuete,pmarsupia,1
David Brown,JulianAssange,2
Fernando Mu�oz,PauAlabajos,1
?Verte?,Daerysia,1
Marta Cordom�,AssembleaValls,1
Adriana Garcia,MaxSapolinski,1
Presente Mi Cmdte.,andreahermoso,1
Nano,InesArrimadas,2
Cosmonauta CCCP,JulianAssange,2
ESBEL GONZALEZ,Kasparov63,1
Elena Lia�o,elconfidencial,1
Francesc Roma Millan,boye_g,1
Alex Castillo,brozoxmiswebs,1
Gustaff,GaelGarciaB,1
@Formaci�n_Anz,hugbelpsuv,1
Arves el Lliure,FonsiLoaiza,1
Pepe G Cervera,pgcervera,2
Toni ?,6b47e7642cda4fb,1
Ripense,eldiarioes,1
Dayana Masache,business,1
PvlcC,A3Noticias,2
Ester piula,RaphaelMinder,1
Manuel Baixauli,Olaif,1
Maria Rodriguez Pere,MiguelUrban,1
Rosa Montero,Guerraeterna,1
??????,pictoline,1
javier c�ceres,jordisanchezp,1
Shark,LaVanguardia,1
Itz ?,_ayme,1
Sira,DavidMeseguer,1
Diego Peralta,PresidencialVen,1
Zalaca�n ABSTENC1O,GLlamazares,1
Lorena Moraga Moya,agarzon,1
Sosi ?,blonstark,1
JOSE MARIA LINDE,Nanchinho,1
Vitor,barcagalaxy,1
Ittnas,marianorajoy,1
Claudia N,gemma_g_fabrega,1
Osvaldo Cancino,SrHugsRules,1
Mason,chselles,1
manuel,elmundoes,1
azenaia,elmundotoday,1
kiko glez vilches,xaviconde,1
christine dudash,slava381977,1
daniel,Mexivergas,1
Mart� Laplana,jcorbalan,1
Solitariorange,FranHervias,1
Reuni�n de MariPuris,heisembreg,1
Victor Sague,sanchezcastejon,2
luis edgardo,SUKOICRIOLLO,4
Mar Segura,ErnestoEkaizer,1
Mari Carmen,CervantesFAQs,1
Dirtytyty?,focusings,1
nasiquiera,GirautaOficial,1
ANC Euskal Herria,KRLS,1
Magaldi?,TraedRuffles,1
Maria Luisa HS,laverdad_es,1
Elise Nijmegen,V_of_Europe,2
KaTiRa #DUI #Orgull,XavierSM10,1
Pablo Torrano Firpo,JAIMETROBO,1
�ngel,tortondo,1
Ramiro P�rez Robles,okdiario,1
surfspup,catalangov,1
Pablo Prol,govern,1
Emilio Jasso,JulianAssange,1
Nelson Lizama,TheGrefgYT,1
MemoleToaEnfad�,GINER,1
Pep Brunet ||*||,joseantich,1
Marta Abegon,toniaira,1
Carlos E,lovrega,1
Dani Rios,elperiodico,1
Irene?,Pablo_Iglesias_,1
XaVier #1d'Oct2017,ForcadellCarme,1
Tirant al Blanch,Hwilliamssgundo,1
Xavi del nord ||*||,Le_Figaro,1
Esteban Iazzetta,Juanmi_News,1
Faraongk,fernandeznorona,1
DiosEsChavista,AlertaNews24,1
Longinos Ferrando,zanguanga,1
Luis Risk,alfonso_ussia,1
C�scara,AntonioMaestre,1
Jean de l'Espinay,RadioCanadaInfo,1
Enric Sopene,perezreverte,1
maria salas,econoscopio,1
txarilla,DiegoPodemos,1
Solitariorange,CiutadansCs,1
?jo?ncece???,Guillemmartnez,1
Sergio David Lovato,marca,1
Sr Bruns,elbaronrojo,1
Jordi Seira,GeorgeKerevan,1
Mar�a?,dramalesbian_,1
maria gali�anes de g,VillegasPoljak,1
Auxi Lopez De Campos,abc_es,1
Holamundo,CSIngobernable,1
Lilian Saez,miguelhotero,1
Alejandra Rodriguez,carollafra,1
Akilain,jonathanmartinz,1
juan y consu,agarzon,1
Hijo de la derrota.,AnitaBotwin,1
Alberto,Xuxipc,1
�Verde&Blanco�,chechulima10,1
ml,EllenBarryNYT,1
Toby Hudson,davidfrum,1
Tynan Pierce,Snowden,1
Jota.,indiescabreados,1
Felipe Cruz,Gordohijuepu,1
Pelayo Ceijas,DiegoPodemos,1
Andrea Daza,ecuavisa,1
John Waterparties,cuatro,1
Patr�cia,agarzon,1
TJguillen,JuanDiegoBotto,1
espanaesnuestracausa,elespanolcom,1
Helen Sunflower,imlilianow,1
amarilis armas,marlencita315,1
Rub�n.,TraedRuffles,1
?Valtarian Blue?,DigimonWorldEsp,1
jmk,GabrielaBustelo,1
jingo,_infoLibre,1
Carles Casanovas,jofrellombart,1
Dani,ForretsGump,1
Daniel,lovrega,1
Maria piperra,schevo,1
NEOLENGUA,ElHuffPost,1
Catetolu�o,quiquecasasola,1
Fernando Salvador,carloszardoya,1
Nameless,cxlturx,1
Juanpe,davidbroncano,1
NetLiga Argentina,90minDePasion,1
Oswaldo Hernandez N.,Hugo_Soberanis,1
Lis Jara Gibbons,EsMemorable,1
Kletus,IgnatiusFarray1,1
Jo,5enix,1
Joseantonioreyesgarc,javisanchezglez,1
J. R. Tomlin,dtaylor5633,1
Esteve Orriols Caba,ForcadellCarme,1
Andr�s A�asco V.,Hugo_Gutierrez_,1
Etnochauvinista,NIKOV188,1
diesofer,Sr_Dios,1
nadie,JuanakinJMS,1
Marta Farretti,RaholaOficial,1
Santi Mari�o,mitiatere,1
Perejaume,davidbroncano,1
Manuel Calle,jorrdirrobert,2
Gonzalo Arias,puntamalabata,1
Montserratl,davidbroncano,1
Edgar,AnitaBotwin,1
?Clara Garcia?,raqueldiazd,1
Elizabeth,catalannews,1
David A. Lareo,alejandrosanmo,1
161,OkenCosplay,1
Fidel67,_PaulMonaghan,1
martin martin,23537Lopez,1
Alejandro,SergioBalbas_D,1
Javier Pedro Mateos,elmundotoday,1
Fernando Soler Vega,CarmenVilluq,1
Pilar Auguet,marianorajoy,1
Anna Roca,CNN,1
Jorge P�rez Fdez,el_pais,1
Camale�n Fumao,LaVanguardia,1
Pilar Pelegr�,HiginiaRoig,1
Cristina Torrent,DretsCat,1
Roberts Amigo,SkyNewsBreak,1
Ferm�n FV,Fel_blan,1
E?erest ?,govern,1
Kiku Neko,CCivicaCatalana,1
N�ria Sard�,VilaWeb,1
zxDanixz,jordievole,1
C204,mikantusmuertos,1
Miguel Sosa Garcete,pepito_garca,1
uriel osornio,ActualidadRT,1
Dani,elnacionalcat,1
Sr_Keras,Pablo_Iglesias_,1
RBN,cecimerello,1
Jose Cede�o,joserckeller,1
Jes�s Sierra,MJLecha,1
Daniel,jordievole,1
Victor Novel,SuNotissima,1
El Espa�ol Patriota,sergio_castro_g,1
Mirosslawa Mill�n,bbcmundo,1
*SuzyStarr*,GeorgeKerevan,1
Reality,Ruptly,1
Ignasi Pau,Olaif,1
Win Win,DavidMeseguer,1
Comboy da Pejeta,niluspc,1
Claudio Ventas.,cody_fran,1
MerciNSarkozy??#LW,russeurope,1
David Balaguer,SnpCatalonia,1
David Mu�oz Quintero,p3dr1t0_8,1
Elisenda Prat,antifa_granada,1
Carolina,diostuitero,1
Heber G�mez,SputnikMundo,1
swingTIC ?,JulianAssange,2
Eve LaRedGirl,perezreverte,1
???? ?(?)?,nachoaldeguer,1
Juan Carlos,yolandacmorin,1
Painkiller,europapress,1
Ram Val,ActualidadRT,1
DOMAR DIESEL CAGUA C,LaVanguardia,1
Estrelad�sima.,erguergaliza,1
RC7,elensugarblue,1
Jorge.,masademocrata,1
MimiOnTheWorld,POLITICOEurope,1
Luis ?,Jefelin4K,1
Jordi Cunillera,BBCWorld,1
Sara,DavidAlonsoJim1,1
EmmiLatte,voxnoticias_es,2
Alvaro Fornos,JoseAntonio_BG,1
?~JuAn?ToPe~?,AnitaBotwin,1
Carla S,KRLS,1
Andrea?,JulianAssange,1
ahagu,chessgoth,1
niwder,ActualidadRT,1
mimateixa,SusodeToro1,1
RaiColl,RaphaelMinder,1
Rodrigo Ieust,kolderiu19,1
#YoSoyReservaActiva?,petrogustavo,1
Mauricio Hernandez,lajornadaonline,1
Wolf Lonely,ActualidadRT,1
kuko Marc #sensepor,MiguelUrban,1
Joan **DUI**,pilarcarracelas,1
Caj�n de sastre,agarzon,1
K�rl�,LaHipogrifa,1
jordi adsuar,AFP,1
Un opinador +,lamarea_com,1
Don Corleone,footmercato,1
Antonio Ferrer,pereceron,1
LYDIA SEGOVIA,pictoline,1
Conde Lu,AnnaSimonMari,1
?R??l� ?Y van 12,Rivasbarrs,1
Luis Rueda Mart�n,VerstryngeJorge,1
Joana Sampol,jaumeclotet,1
Albert Mosoll,AFP,1
ElAzoteLiberal,A3Noticias,1
Pedro Vin�cius,Ganjalegalizada,1
Arturo,blonstark,1
Andr�s,TraedRuffles,1
JORDI CUL�,AnitaBotwin,1
Cristina V.M,raulharo11,1
Wizarin,forocoches,1
anne hage,theintercept,1
Guille,IgnatiusFarray1,1
M�nica Mart�nez,agarzon,1
?????,20m,1
Eliot Snow,Xuxipc,1
Teodora Mart�n,tableroglobal,1
Dominik Gawron,LeszekMiller,1
xMalakay,Pablo_Iglesias_,1
angelica camacho,Miriam_Junne,1
Miquel Gonz�lez,XSalaimartin,1
Jordi Gran� Ortega,RaholaOficial,1
Luisa Pastrano,Nanchinho,1
Irene,rsarenilla,1
Pere Vivas Elias,Sirsha_art,1
xevi,Marcguillen,1
MariaJos� Caball�,NoticiasONU,1
F�lix Hern�ndez V.,josegrasso,1
Esther Mart�,PabloMM,1
la mari,JulianAssange,1
M� Carmen Sanchez,TeresaRodr_,1
Claudio Retamal B,ossandonsaball,1
ana ramirez flores,pereceron,1
Mr. Mushroom,martaatara,1
CLl,btvnoticies,1
cloudinbluesky,sandrinemorel,1
||_Indomable_||,Misterio_Sory,1
Ivan RM,RocioMDP,1
Moriarty,Genyi_,1
Gemma Agell,GINER,1
???Guillermo??? #S�,jaumeclotet,1
jordiibanez,ActualidadRT,1
Jesus Garcia Alarcon,zenxv,1
Via Fora ||*||,naciodigital,1
Bea Garc�a - Torres,davidbroncano,1
Sam Henkel,JulianAssange,1
Magal� Rabasseda,JoanRabasseda,1
N�stor M�nguez,IgnatiusFarray1,1
PAUL S,paulmasonnews,1
Oscar Fuentes,patriotapanama,1
El_de_las_gafas,KRLS,1
Antonio L�pez ?,Imeldadaza,1
Gadea Garcia,carlossegovia_,1
Juan Suarez,ActualidadRT,1
Lillo,XSalaimartin,1
jacg,argenisdarienzo,1
Rita,mossos,1
dracarys.,niporwifi,1
CNN en Espa�ol,CNNEE,1
Tomas Xicota ||?||,erikwill,1
Iv�n L.,CelopanYT,1
