user_name,count_tweet,pol,count_retweet,count_mentions,pol_tot
Coquita,2,0.3019999861717224,0,2,0.3019999861717224
Carmina Valdiz�n,1,0.375,0,2,0.75
Esteban Arambillet.,1,0.0,0,0,0.0
Claudia I.,1,0.375,0,1,0.375
I ? Frankie Banky,1,-0.25,0,1,-0.25
pietroanguila,4,0.22174999117851257,0,2,0.22174999117851257
Amparo #NIUNAMENOS,2,0.21549999713897705,0,3,0.21549999713897705
ines bardi riera,1,0.625,0,1,0.625
pablo anzalone,1,0.0,0,1,0.0
Lidia ?,2,0.0,0,1,0.0
Dario Sales Marote,6,-0.21116665502389273,1,15,-0.6899999578793844
DIEGO R.,3,0.19299998879432678,0,5,0.009666641553243002
V�ktor Bj�rnsson,1,0.0,0,1,0.0
Lilian Mart�nez,1,0.0,0,1,0.0
Joan Descurat,3,-0.17866667111714682,0,5,-0.2323333422342936
Muffin.,1,-0.25,0,1,-0.25
Alfred C,5,-0.0628000020980835,0,5,-0.0628000020980835
J. G. P.,1,-0.75,0,1,-0.75
Pau Giner,1,-0.125,0,1,-0.125
Jessica C�ceres,1,0.25,0,1,0.25
Juan P�rez Mart�nez,1,0.0,0,3,0.0
Mamen Moog,2,-0.125,0,2,-0.125
quardelius,3,0.375,0,3,0.375
Paco Esquide Guillen,2,0.12799999117851257,0,2,0.12799999117851257
juniorlifter,1,0.0,0,1,0.0
somil baluja,1,0.8919999599456787,0,2,1.7839999198913574
Josep V.,1,0.0,0,0,0.0
Bic Tor,1,-0.48100000619888306,0,1,-0.48100000619888306
Ariakan Yusupov,1,0.08300000429153442,0,1,0.08300000429153442
European News,1,0.375,0,1,0.375
Fernando G. Iturbe,2,0.07499998807907104,0,2,0.07499998807907104
Sipu,1,0.5249999761581421,0,1,0.5249999761581421
Isabel Rubio Santuy,1,-0.625,0,1,-0.625
Elias Garmendia,1,-0.25,0,1,-0.25
NotiExpress!,11,0.05318181623112072,0,0,0.05318181623112072
Xavi Micolau 27s,1,0.0,0,1,0.0
